"Elementary School","Address","Neighborhood","School Hours","Earliest Drop Off Time","After School Hours","Grades","Phone","Website","Contact Page","Provides Before Care","Provides After Care","Before Care Start Time","Before Care Provider","Before Care Info","After Care End Time","After Care Provider","After Care Info","lat","lon"
"PRUSSING","4650 N MENARD AVE","Portage Park","08:15 AM-03:15 PM","8:00 AM","3:15 PM -4:15 PM","K-8","(773) 534-3460","http://prussing.cps.edu","","","True","","","","6:00 p.m.","Right At School","""After-School Programs are now available in the After-School Programs section below."" <a href=""http://prussing.cps.edu"">[1]</a>
""Prussing School is proud to have Right At School's ""Right Club"" optional after-care program every day at Prussing from 3:15 p.m. to 6:00 p.m. After a snack and fun fitness activities, students complete their homework and then have an afternoon of meaningful enrichment activities through sports, games, arts and crafts."" <a href=""http://prussing.cps.edu/prussing-news.html"">[2]</a>
","41.965627"," -87.77242"
"PULASKI","2230 W MCLEAN AVE","Logan Square","8:45 AM-3:45 PM","8:20 AM","3:45 PM -5:00 PM","PK-8","(773) 534-4391","http://www.pulaskischool.org","http://www.pulaskischool.org/apps/contact","True","True","8:20 a.m.","Adult supervision on the playgrounds","""Adult supervision will be on the playgrounds beginning at 8:20 a.m."" <a href=""https://www.pulaskischool.org/pdfs/Student Handbook/FINAL SY2022-23 Pulaski Student_Parent Handbook Eng_Span.pdf"">[1]</a>
","3:45 p.m.","After school programs","""In addition, there are after school programs that offer activities to engage students in language arts and math instruction, the arts, and sports and fitness."" <a href=""https://www.pulaskischool.org/pdfs/Student Handbook/FINAL SY2022-23 Pulaski Student_Parent Handbook Eng_Span.pdf"">[1]</a>
","41.918494"," -87.683807"
"PULLMAN","11311 S FORRESTVILLE AVE","Pullman","8:45 AM-3:45 PM","8:30","3:45 PM - 6:00 PM","PK-8","(773) 535-5395","https://pullmanschool.org","https://pullmanschool.org/apps/contact","","True","","","","","","""Please scan the QR code on the flyer to Register."" <a href=""https://pullmanschool.org/apps/news/rss?categoryid=18023"">[1]</a>
""**Pullman After School Programs**"" <a href=""https://pullmanschool.org/apps/news/"">[2]</a>
""**Pullman After School Programs**"" <a href=""https://pullmanschool.org/apps/news/category/18023"">[3]</a>
","41.688827"," -87.609437"
"RANDOLPH","7316 S HOYNE AVE","West Englewood","08:00 AM-03:00 PM","","","PK-8","(773) 535-9015","http://randolph.cps.edu/","http://randolph.cps.edu/apps/contact","True","True","","","""Programs begin September 5, 2023 and end December 21, 2023."" <a href=""https://www.randolph.cps.edu/apps/news/"">[1]</a>
""Programs begin September 5, 2023 and end December 21, 2023."" <a href=""https://www.randolph.cps.edu/apps/news/index.jsp?id=0"">[2]</a>
","","","""Programs begin September 5, 2023 and end December 21, 2023."" <a href=""https://www.randolph.cps.edu/apps/news/"">[1]</a>
""Programs begin September 5, 2023 and end December 21, 2023."" <a href=""https://www.randolph.cps.edu/apps/news/index.jsp?id=0"">[2]</a>
""Registration for after school for the spring is now open."" <a href=""https://www.randolph.cps.edu/"">[3]</a>
""We are excited to be offering new after schools programs."" <a href=""https://www.randolph.cps.edu/apps/news/show_news.jsp?REC_ID=891094&id=0"">[4]</a>
""Registration for after school for the spring is now open."" <a href=""https://www.randolph.cps.edu/apps/news/show_news.jsp?REC_ID=905251&id=0"">[5]</a>
","41.760622"," -87.675971"
"RAVENSWOOD","4332 N PAULINA ST","Lake View","08:45 AM-03:45 PM","","","PK-8","(773) 534-5525","https://www.ravenswoodelementary.org","https://www.ravenswoodelementary.org/contact/","True","True","7:15am-8:45am","Youth Guidance","""BASA offers quality on-site, supervised before- and after-school child care, plus the opportunity to enroll in an ever-expanding variety of classes and workshops for students of all ages."" <a href=""https://www.ravenswoodelementary.org/before-after-school-adventures"">[1]</a>
""Youth Guidance coordinates our before and after school care (BASA) programming and activities, and serves more than 8,000 students across Chicago."" <a href=""https://www.ravenswoodelementary.org/partners"">[2]</a>
""Before & After School Adventures—better known as “BASA” offers quality on-site, supervised before- and after-school child care."" <a href=""https://www.ravenswoodelementary.org/prek-admissions"">[3]</a>
""[BASA](/before-after-school-adventures)"" <a href=""https://www.ravenswoodelementary.org"">[4]</a>
","6:15pm","Youth Guidance","""BASA offers quality on-site, supervised before- and after-school child care, plus the opportunity to enroll in an ever-expanding variety of classes and workshops for students of all ages."" <a href=""https://www.ravenswoodelementary.org/before-after-school-adventures"">[1]</a>
""Youth Guidance coordinates our before and after school care (BASA) programming and activities, and serves more than 8,000 students across Chicago."" <a href=""https://www.ravenswoodelementary.org/partners"">[2]</a>
""Before & After School Adventures—better known as “BASA” offers quality on-site, supervised before- and after-school child care."" <a href=""https://www.ravenswoodelementary.org/prek-admissions"">[3]</a>
""[BASA](/before-after-school-adventures)"" <a href=""https://www.ravenswoodelementary.org"">[4]</a>
","41.960754"," -87.670928"
"RAY","5631 S KIMBARK AVE","Hyde Park","08:45 AM-03:45 PM","8:20 AM (BREAKFAST STUDENTS ONLY)","3:45PM","PK-8","(773) 535-0970","http://ray.cps.edu","http://ray.cps.edu/apps/contact","True","True","Not specified","Right at School","""Before & Aftercare Drop in Service - Right at School"" <a href=""https://www.ray.cps.edu/apps/news/index.jsp?id=0"">[1]</a>
""Drop-in cost for Right at School is $50."" <a href=""https://www.ray.cps.edu/apps/news/show_news.jsp?REC_ID=926264&id=0"">[2]</a>
""Important: Space is limited if you are interested in signing up for before or aftercare."" <a href=""https://www.ray.cps.edu/apps/news/show_news.jsp?REC_ID=921879&id=0"">[3]</a>
""Before & Aftercare Drop in Service - Right at School"" <a href=""https://www.ray.cps.edu/"">[4]</a>
""Before & Aftercare Drop in Service - Right at School"" <a href=""https://www.ray.cps.edu/apps/news/"">[5]</a>
","Not specified","Right at School","""Before & Aftercare Drop in Service - Right at School"" <a href=""https://www.ray.cps.edu/apps/news/index.jsp?id=0"">[1]</a>
""Drop-in cost for Right at School is $50."" <a href=""https://www.ray.cps.edu/apps/news/show_news.jsp?REC_ID=926264&id=0"">[2]</a>
""Important: Space is limited if you are interested in signing up for before or aftercare."" <a href=""https://www.ray.cps.edu/apps/news/show_news.jsp?REC_ID=921879&id=0"">[3]</a>
""Before & Aftercare Drop in Service - Right at School"" <a href=""https://www.ray.cps.edu/"">[4]</a>
""Before & Aftercare Drop in Service - Right at School"" <a href=""https://www.ray.cps.edu/apps/news/"">[5]</a>
","41.792356"," -87.594758"
"REAVIS","834 E 50TH ST","Kenwood","08:45 AM-03:45 PM","","","PK-8","(773) 535-1060","http://www.reaviselementaryschool.org/","http://www.reaviselementaryschool.org/apps/contact","","","","","","","","","41.804182"," -87.604931"
"REILLY","3650 W SCHOOL ST","Avondale","07:45 AM-02:45 PM","7:45 AM","3:00- 5:00 PM","PK-8","(773) 534-5250","http://www.reillyschool.com","http://www.reillyschool.com/apps/contact","","True","","","","5:00 PM","","""El cuidado de niños limitado también está disponible hasta las 5pm."" <a href=""https://www.reillyschool.com/apps/pages/index.jsp?uREC_ID=488100&type=d"">[1]</a>
""Registration for the first session of After-School Programming is open now through Wednesday, September 18th."" <a href=""https://www.reillyschool.com/apps/news/show_news.jsp?REC_ID=835378&id=0"">[2]</a>
""After-School Program Registration Open ・ Inscripción para el programa extraescolar abierta"" <a href=""https://www.reillyschool.com/"">[3]</a>
""[After-School Program Registration Open ・ Inscripción para el programa extraescolar abierta]"" <a href=""https://www.reillyschool.com/apps/news/index.jsp?id=0"">[4]</a>
""After-School Childcare | 3:00 PM | 5:00 PM | 120 min"" <a href=""https://www.reillyschool.com/pages_inc/school_hours.jsp"">[5]</a>
","41.941102"," -87.719546"
"REINBERG","3425 N MAJOR AVE","Portage Park","09:00 AM-04:00 PM","08:45 AM","04:00 PM- 05:15 PM","PK-8","(773) 534-3465","https://reinberg.cps.edu","https://reinberg.cps.edu/apps/contact","","True","","","","","Metropolitan Family Services","""Our non-for-profit partner, Metropolitan Family Services, offers after school services for students and family counseling."" <a href=""https://www.reinberg.cps.edu/apps/pages/index.jsp?uREC_ID=357713&type=d"">[1]</a>
","41.943027"," -87.768988"
"REVERE","1010 E 72ND ST","Greater Grand Crossing","08:45 AM-03:45 PM","8;30 AM","3:45-5:00 PM ","PK-8","(773) 535-0618","https://wearerevere.org","https://wearerevere.org/apps/contact","","True","","","","","YMCA OF METROPOLITAN CHICAGO","""YMCA at Revere. Fall programs will start soon for the 24/25 school year."" <a href=""https://www.wearerevere.org/apps/news/show_news.jsp?REC_ID=927742&id=0"">[1]</a>
","41.764204"," -87.600183"
"RICHARDSON","6018 S KARLOV AVE","West Lawn","8:30 AM - 3:30 PM","8:15 AM","","5-8","(773) 535-8640","http://richardson.cps.edu","","","","","","","","","","41.783834"," -87.725427"
"ROBINSON","4225 S LAKE PARK AVE","Oakland","08:00 AM-03:00 PM","07:45 AM","03:00 PM - 05:00 PM","PK-3","(773) 535-1777","https://robinsoncps.org","https://robinsoncps.org/apps/contact","True","True","7:45 AM","","""Earliest Drop Off | 7:45 AM | — | —"" <a href=""https://www.robinsoncps.org/apps/bell_schedules/"">[1]</a>
","6:00 PM","","""After School Hours | 3:00 PM | 6:00 PM | 180 min"" <a href=""https://www.robinsoncps.org/apps/bell_schedules/"">[1]</a>
","41.817357"," -87.599073"
"ROGERS","7345 N WASHTENAW AVE","West Ridge","08:00 AM-03:00 PM","7:30 AM","","PK-8","(773) 534-2125","https://philiprogersschool.org","https://philiprogersschool.org/apps/contact","","True","","","","","iSTEAM and Young Rembrandts","""This year, we will have two visiting vendors providing programs with registration through their websites."" <a href=""https://www.philiprogersschool.org/apps/news/show_news.jsp?REC_ID=928734&id=0"">[1]</a>
","42.015273"," -87.697191"
"RUDOLPH","1628 W WASHINGTON BLVD","Near West Side","7:45AM - 2:45PM","7:45 AM","NA","PK-8","(773) 534-7460","https://rudolph.cps.edu","https://rudolph.cps.edu/contact.html","","","","","","","","","41.883915"," -87.668097"
"RUGGLES","7831 S PRAIRIE AVE","Greater Grand Crossing","08:45 AM-03:45 PM","","","PK-8","(773) 535-3085","https://ruggleselementary.org","https://ruggleselementary.org/apps/contact","","","","","","","","","41.751953"," -87.618072"
"RUIZ","2410 S LEAVITT ST","Lower West Side","08:00 AM-03:00 PM","07:35AM","","PK-8","(773) 535-4825","https://ruizelementaryschool.org","https://ruizelementaryschool.org/apps/contact","","","","","","","","","41.848109"," -87.68075"
"RYDER","8716 S WALLACE ST","Auburn Gresham","08:45 AM-03:45 PM","8:30 AM","4:00 PM - 5:00 PM","PK-8","(773) 535-3843","https://ryderschool.org","https://ryderschool.org/apps/contact","","True","","","","12 Noon","","""Sign-up today! scan the QR code on the flyer. Last day of registration ends April 1st @ 12 Noon."" <a href=""https://ryderschool.org/apps/news/"">[1]</a>
""Sign-up today! scan the QR code on the flyer. Last day of registration ends April 1st @ 12 Noon."" <a href=""https://ryderschool.org/"">[2]</a>
""Ryder's Spring Afterschool Program"" <a href=""https://ryderschool.org/apps/news/category/11469"">[3]</a>
""Ryder's Spring Afterschool Program"" <a href=""https://ryderschool.org/apps/news"">[4]</a>
""Ryder's Spring Afterschool Program"" <a href=""https://ryderschool.org/apps/news/"">[5]</a>
","41.735387"," -87.638848"
"SABIN","2216 W HIRSCH ST","West Town","09:00 AM-04:00 PM","8:45 AM","4:00PM -6:00 PM","PK-8","(773) 534-4491","https://sabin.cps.edu","https://sabin.cps.edu/apps/contact","True","True","","","""- Sports and Afterschool Programs: Offering enrichment, academic, athletic and mentorships programs before and after school."" <a href=""https://www.sabin.cps.edu/apps/pages/index.jsp?uREC_ID=578207&type=d"">[1]</a>
","4:00 PM","","""- Sports and Afterschool Programs: Offering enrichment, academic, athletic and mentorships programs before and after school."" <a href=""https://www.sabin.cps.edu/apps/pages/index.jsp?uREC_ID=578207&type=d"">[1]</a>
","41.906824"," -87.683056"
"SADLOWSKI","3930 E 105TH ST","East Side","8:00AM-3:00 M-F","7:45","3:30-5PM (VIRTUAL)","PK-8","(773) 535-8040","http://sadlowski.cps.edu","http://sadlowski.cps.edu/apps/contact","","","","","","","","","41.704866"," -87.527991"
"SAFE ACHIEVE ES","7877 S COLES AVE","South Shore","","","","4-8","(773) 902-2487","https://sesischools.com/locations/safe-achieve-academy-of-chicago","https://sesischools.com/locations/safe-achieve-academy-of-chicago/apps/contact","","","","","","","","","41.753125"," -87.550518"
"SALAZAR","160 W WENDELL ST","Near North Side","09:00 AM-04:00 PM","08:45 AM","04:00 PM - 05:00 PM (CHECK WITH MAIN OFFICE)","PK-8","(773) 534-8310","https://salazar.cps.edu","https://salazar.cps.edu/apps/contact","","","","","","","","","41.901424"," -87.633638"
"SANDOVAL","5534 S SAINT LOUIS AVE","Gage Park","08:15 AM-03:15 PM","7:55 AM","3:30 PM- 5:00 PM, M-TH","PK-5","(773) 535-0457","https://sandovalelementary.org","https://sandovalelementary.org/apps/contact","","True","","","","","RISE PROGRAM","""NEW After-School programs for grades 2nd through 4th Grade will begin on Monday, September 23."" <a href=""https://www.sandovalelementary.org/"">[1]</a>
""NEW After-School programs for grades 2nd through 4th Grade will begin on Monday, September 23."" <a href=""https://www.sandovalelementary.org/index.jsp"">[2]</a>
""NEW After-School programs for grades 2nd through 4th Grade will begin on Monday, September 23."" <a href=""https://www.sandovalelementary.org/apps/news/show_news.jsp?REC_ID=929826&id=0"">[3]</a>
""RISE PROGRAM AFTER SCHOOL"" <a href=""https://www.sandovalelementary.org/apps/video/"">[4]</a>
""RISE PROGRAM AFTER SCHOOL"" <a href=""https://www.sandovalelementary.org/apps/departments/clubs.jsp"">[5]</a>
""NEW After-School programs for grades 2nd through 4th Grade will begin on Monday, September 23."" <a href=""https://www.sandovalelementary.org/apps/news/index.jsp?id=0"">[6]</a>
""NEW After-School programs for grades 2nd through 4th Grade will begin on Monday, September 23."" <a href=""https://www.sandovalelementary.org/apps/news/"">[7]</a>
","41.792354"," -87.710993"
"SAUCEDO","2850 W 24TH BLVD","South Lawndale","9:00 AM-4:00 PM","7:30 AM","4:00 PM - 6:30 PM","PK-8","(773) 534-1770","https://www.mariasaucedoscholasticacademy.org","https://www.mariasaucedoscholasticacademy.org/apps/contact","True","True","","","""We offer incredible before and after school choices: soccer, floor hockey, track and field, volleyball, basketball, swim, aquatic robotics, drama, tutoring, dance, Girls on the Run, and many more!"" <a href=""https://www.mariasaucedoscholasticacademy.org/apps/pages/index.jsp?uREC_ID=1899450&type=d&pREC_ID=2044966"">[1]</a>
","","","""We offer incredible before and after school choices: soccer, floor hockey, track and field, volleyball, basketball, swim, aquatic robotics, drama, tutoring, dance, Girls on the Run, and many more!"" <a href=""https://www.mariasaucedoscholasticacademy.org/apps/pages/index.jsp?uREC_ID=1899450&type=d&pREC_ID=2044966"">[1]</a>
","41.847949"," -87.697321"
"SAUGANASH","6040 N KILPATRICK AVE","Forest Glen","08:00 AM-03:00 PM","7:45 AM","3:00 - 4:00 PM","PK-8","(773) 534-3470","http://sauganash.cps.edu","","True","True","7:00 AM","Right At School","""[Right At School](/right-at-school.html)"" <a href=""http://sauganash.cps.edu/volunteering.html"">[1]</a>
""[Right At School](/right-at-school.html)"" <a href=""http://sauganash.cps.edu/cps-information.html"">[2]</a>
""[Right At School](/right-at-school.html)"" <a href=""http://sauganash.cps.edu/safety--security.html"">[3]</a>
""[Right At School](/right-at-school.html)"" <a href=""http://sauganash.cps.edu/tader-bio.html"">[4]</a>
""[Right At School](/right-at-school.html)"" <a href=""http://sauganash.cps.edu/aspen-parent-portal.html"">[5]</a>
""[Right At School](/right-at-school.html)"" <a href=""http://sauganash.cps.edu/iready-info.html"">[6]</a>
""[Right At School](/right-at-school.html)"" <a href=""http://sauganash.cps.edu/local-school-council-lsc.html"">[7]</a>
","6:00 PM","Right At School","""[Right At School](/right-at-school.html)"" <a href=""http://sauganash.cps.edu/volunteering.html"">[1]</a>
""[Right At School](/right-at-school.html)"" <a href=""http://sauganash.cps.edu/cps-information.html"">[2]</a>
""[Right At School](/right-at-school.html)"" <a href=""http://sauganash.cps.edu/safety--security.html"">[3]</a>
""[Right At School](/right-at-school.html)"" <a href=""http://sauganash.cps.edu/tader-bio.html"">[4]</a>
""[Right At School](/right-at-school.html)"" <a href=""http://sauganash.cps.edu/aspen-parent-portal.html"">[5]</a>
""[Right At School](/right-at-school.html)"" <a href=""http://sauganash.cps.edu/iready-info.html"">[6]</a>
""[Right At School](/right-at-school.html)"" <a href=""http://sauganash.cps.edu/local-school-council-lsc.html"">[7]</a>
","41.991177"," -87.745957"
"SAWYER","5248 S SAWYER AVE","Gage Park","8:00 AM-3:00 PM","","","PK-8","(773) 535-0440","https://sawyer.cps.edu","https://sawyer.cps.edu/apps/contact","","True","","","","6:00 PM","OST After-School","""OST After-School// Programas Extracurriculares"" <a href=""https://sawyer.cps.edu/index.jsp"">[1]</a>
","41.797506"," -87.705012"
"SAYRE","1850 N NEWLAND AVE","Austin","7:30 AM-2:30 PM","7:20 AM","","PK-8","(773) 534-3351","https://sayre.cps.edu","https://sayre.cps.edu/apps/contact","","","","","","","","","41.914158"," -87.798727"
"SCAMMON","4201 W HENDERSON ST","Irving Park","08:00 AM-03:00 PM","","","PK-8","(773) 534-3475","https://scammon.cps.edu","https://scammon.cps.edu/apps/contact","","True","","","","","Right At School","""Sin embargo, nos hemos asociado con Right At School como una opción asequible de cuidado posterior para las familias de Scammon."" <a href=""https://www.scammon.cps.edu/apps/pages/index.jsp?uREC_ID=566924&type=d"">[1]</a>
","41.941685"," -87.732185"
"SCHMID","9755 S GREENWOOD AVE","Pullman","08:45 AM-03:45 PM","08:30AM","3:45 - 5:00PM","PK-8","(773) 535-6235","https://schmidchargers.org","https://schmidchargers.org/apps/contact","True","True","8:30 AM","","""Earliest Drop Off | 8:30 AM | — | —"" <a href=""https://www.schmidchargers.org/apps/bell_schedules/"">[1]</a>
","5:30 PM","","""After School Hours | 3:45 PM | 5:30 PM | 105 min"" <a href=""https://www.schmidchargers.org/apps/bell_schedules/"">[1]</a>
","41.716997"," -87.596938"
"SCHUBERT","2727 N LONG AVE","Belmont Cragin","07:45 AM-02:45 PM","7:35","","PK-5","(773) 534-3080","https://schubertes.org","https://schubertes.org/apps/contact","","","","","","","","","41.930411"," -87.761196"
"SEWARD","4600 S HERMITAGE AVE","New City","07:45 AM-02:45 PM","","","PK-8","(773) 535-4890","https://seward.cps.edu","https://seward.cps.edu/contact.html","","","","","","","","","41.810341"," -87.668778"
"SHERIDAN","533 W 27TH ST","Bridgeport","7:30AM - 2:30PM","7:30 AM","2:30-3:30 PM","K-8","(773) 534-9120","http://sheridan.cps.edu","http://sheridan.cps.edu/contact/","","","","","","","","","41.844408"," -87.641346"
"SHERMAN","1000 W 52ND ST","New City","08:30 AM-03:30 PM","8:15 AM","","PK-8","(773) 535-1757","https://sherman.cps.edu","https://sherman.cps.edu/apps/contact","","True","","","","","Chicago Youth Centers","""Provides afterschool and summer enrichment programming."" <a href=""https://sherman.cps.edu/community/"">[1]</a>
","41.799774"," -87.650227"
"SHERWOOD","245 W 57TH ST","Englewood","09:00AM-4:00PM","8:45AM","4:00PM-5:00PM","PK-8","(773) 535-0829","https://sherwood.cps.edu","https://sherwood.cps.edu/contact.html","True","True","","","""We have a rich after-school and before school program not only for our children, but for our parents."" <a href=""https://sherwood.cps.edu/principal.html"">[1]</a>
","","","""We have a rich after-school and before school program not only for our children, but for our parents."" <a href=""https://sherwood.cps.edu/principal.html"">[1]</a>
","41.790808"," -87.632285"
"SHIELDS","4250 S ROCKWELL ST","Brighton Park","08:00 AM - 03:00 PM","7:45 AM","SPECIAL OFFERINGS","PK-4","(773) 535-7285","http://shields.cps.edu","http://shields.cps.edu/contact/","True","True","8am","BPNC","""8am-9am early drop off available."" <a href=""http://shields.cps.edu/uploads/8/4/9/8/84982688/bpnc_summer_camp.pdf"">[1]</a>
","","","""**Students at Shields who are in good academic standing have the opportunity to participate in after school activities. By participating in an after school activity students have the ability to develop values of teamwork, responsibility, cooperation, and culture and community.** ​"" <a href=""http://shields.cps.edu/after-school-programs.html"">[1]</a>
","41.815917"," -87.689653"
"SHIELDS MIDDLE","2611 W 48TH ST","Brighton Park","8:15AM-3:15PM","7:45 AM","3:15PM-5:00PM","5-8","(773) 535-7115","https://shieldsmiddleschool.org","https://shieldsmiddleschool.org/apps/contact","True","True","7:15AM","BPNC & SMS","""Sign up June 2 before and/or after school from 7:15AM-8:15AM or 2:15PM-3:15PM."" <a href=""https://www.shieldsmiddleschool.org/apps/news/show_news.jsp?REC_ID=854987&id=0"">[1]</a>
","3:15PM","BPNC & SMS","""Sign up June 2 before and/or after school from 7:15AM-8:15AM or 2:15PM-3:15PM."" <a href=""https://www.shieldsmiddleschool.org/apps/news/show_news.jsp?REC_ID=854987&id=0"">[1]</a>
","41.806499"," -87.689786"
"SHOESMITH","1330 E 50TH ST","Kenwood","08:45 AM-03:45PM","","","K-6","(773) 535-1764","http://shoesmith.cps.edu","","","","","","","","","","41.804302"," -87.593911"
"SHOOP","11140 S BISHOP ST","Morgan Park","07:45 AM-02:45 PM","7:35 AM","","PK-8","(773) 535-2715","https://shoop.cps.edu","https://shoop.cps.edu/apps/contact","","","","","","","","","41.690927"," -87.658675"
"SKINNER","1260 W ADAMS ST","Near West Side","8:45 AM-3:45 PM","8:45 AM","3:45 PM-6:15 PM","PK-8","(773) 534-7790","https://www.skinnerwest.cps.edu","https://www.skinnerwest.cps.edu/contact.html","","True","","","""Parents have expressed concerns with the late bell schedule and not having an early care option. R. Anand has provided a consolidated list of early care and after care programs that other CPS schools are using. The LSC and school administration will explore early care options."" <a href=""https://www.skinnerwest.cps.edu/lsc-meetingmin/LSC-Meeting-Minutes-9.12.2023.pdf"">[1]</a>
","6:30PM","STAR","""STAR will start on Monday 18 September from 4pm-6:15PM at Branch and till 6:30PM at Main Building."" <a href=""https://www.skinnerwest.cps.edu/lsc-meetingmin/LSC-Meeting-Minutes-9.12.2023.pdf"">[1]</a>
","41.87911"," -87.659425"
"SKINNER NORTH","640 W SCOTT ST","Near North Side","8:30AM - 3:30PM","8:30 AM (OR 7:00 IF DOING PAID BEFORE CARE)","3:30 PM - 6:00 PM","K-8","(773) 534-8500","https://www.skinnernorth.org","https://www.skinnernorth.org/apps/contact","True","True","7:00am","Right At School","""Right At School provides paid programming for early drop offs from 7:00am until 8:30am."" <a href=""https://www.skinnernorth.org/apps/pages/index.jsp?uREC_ID=560883&type=d"">[1]</a>
""Right at School will provide paid programming for early drop offs from 7:00am-8:30am."" <a href=""https://www.skinnernorth.org/apps/pages/index.jsp?type=d&uREC_ID=561390&pREC_ID=1075110"">[2]</a>
","3:30pm","Right At School","""If you are not able to pick up your child at 3:30pm, you have three options."" <a href=""https://www.skinnernorth.org/apps/pages/index.jsp?uREC_ID=560883&type=d"">[1]</a>
""Students not picked-up by 3:30pm will be sent to the Right At School Program, and a fee will be charged."" <a href=""https://www.skinnernorth.org/apps/pages/index.jsp?type=d&uREC_ID=561390&pREC_ID=1075110"">[2]</a>
","41.905117"," -87.644847"
"SMITH","744 E 103RD ST","Pullman","08:15 AM-03:15 PM","8:00 AM","3:15 PM- 5:15 PM","PK-8","(773) 535-5689","https://wendellsmith.cps.edu","https://wendellsmith.cps.edu/apps/contact","","","","","","","","","41.707565"," -87.604666"
"SMYSER","4310 N MELVINA AVE","Portage Park","8:15/8:45 AM-3:15/3:45 PM","15 MINUTES PRIOR TO START OF SCHOOL","3:15/3:45 PM -4:15/4:45 PM OST","PK-8","(773) 534-3711","https://smyser.org","https://smyser.org/apps/contact","","True","","","","","YMCA","""Smyser Main Campus will be launching a new partnership with YMCA to provide tuition-based after care for students K-8 in Fall 2024."" <a href=""https://www.smyser.org/apps/news/show_news.jsp?REC_ID=916195&id=0"">[1]</a>
""Smyser Main Campus will be launching a new partnership with YMCA to provide tuition-based after care for students K-8 in Fall 2024."" <a href=""https://smyser.org"">[2]</a>
""Smyser Main Campus will be launching a new partnership with YMCA to provide tuition-based after care for students K-8 in Fall 2024."" <a href=""https://www.smyser.org/index.jsp"">[3]</a>
""Smyser Main Campus will be launching a new partnership with YMCA to provide tuition-based after care for students K-8 in Fall 2024."" <a href=""https://www.smyser.org/apps/news/"">[4]</a>
""Smyser Main Campus will be launching a new partnership with YMCA to provide tuition-based after care for students K-8 in Fall 2024."" <a href=""https://www.smyser.org/apps/news/index.jsp?id=0"">[5]</a>
","41.958876"," -87.78198"
"SMYTH","1059 W 13TH ST","Near West Side","08:00 AM - 03:00 PM","7:30 AM","","PK-8","(773) 534-7180","http://smyth.cps.edu","http://smyth.cps.edu/contact/","","True","","","","","Fosco Park","""Students meet after school and are chaperoned one block by Fosco staff to their fieldhouse at 13th and Racine."" <a href=""http://smyth.cps.edu/school-partners.html"">[1]</a>
","41.865359"," -87.653451"
"SOLOMON","6206 N HAMLIN AVE","North Park","09:00 AM - 04:00 PM","","","PK-8","(773) 534-5226","https://solomon.cps.edu","https://solomon.cps.edu/apps/contact","True","True","","Solomon","""Out-of-School Time: Solomon run before and after school enrichment programming"" <a href=""https://www.solomon.cps.edu/apps/pages/index.jsp?uREC_ID=585217&type=d"">[1]</a>
","","Solomon","""Out-of-School Time: Solomon run before and after school enrichment programming"" <a href=""https://www.solomon.cps.edu/apps/pages/index.jsp?uREC_ID=585217&type=d"">[1]</a>
","41.99395"," -87.724048"
"SOR JUANA","4034 W 56TH ST","West Elsdon","7:45 AM - 2:45 PM","7:15 AM","TBD","PK-8","(773) 535-8280","https://sorjuana.cps.edu","https://sorjuana.cps.edu/apps/contact","","True","","","","","","""[After School Programming Begins]"" <a href=""https://www.sorjuana.cps.edu/apps/events/"">[1]</a>
","41.791472"," -87.724476"
"SOUTH LOOP","1601 S DEARBORN ST","Near South Side","08:30 AM-03:30 PM","7:45AM - PRIMARY BUILDING ONLY","3:30 PM - 6:00 PM","PK-8","(773) 534-8690","https://southloopschool.org","","True","True","7:00 AM","Right at School","""Right at School offers before school care starting at 7:00 AM."" <a href=""https://southloopschool.org/author/slsweb/page/7/"">[1]</a>
","6:00 PM","Right at School","""Please follow the protocols put in place by our Extended Day Right at School Program."" <a href=""https://southloopschool.org/resource/drop-off-pick-up/"">[1]</a>
""South Loop School offers a fee based after school program through our partner, Youth Guidance. The program runs the length of the school year. Operating 3:00 pm – 6:00 pm."" <a href=""https://southloopschool.org/about/tuition-based-preschool/"">[2]</a>
""""Right at School provides after-school care until 6:00 PM."""" <a href=""https://southloopschool.org/author/slsweb/page/7/"">[3]</a>
","41.859749"," -87.628355"
"SOUTH SHORE ES","1415 E 70TH ST","South Shore","8:00 AM-3:00 PM","8:00 AM","","PK-8","(773) 535-8340","https://southshorefinearts.org","https://southshorefinearts.org/apps/contact","","True","","","","","","""**A.** Yes. South Shore Fine Arts Academy offers a variety of after-school programs. Information regarding after-school programs will go home with students during the first month of school."" <a href=""https://www.southshorefinearts.org/apps/pages/index.jsp?uREC_ID=222360&type=d"">[1]</a>
","41.767763"," -87.590402"
"SPENCER","214 N LAVERGNE AVE","Austin","08:45 AM-03:45 PM","8:45AM","3:45 PM - 6:00 PM","PK-8","(773) 534-6150","https://spencertech.cps.edu","https://spencertech.cps.edu/apps/contact","","","","","","","","","41.884884"," -87.750451"
"SPRY ES","2400 S MARSHALL BLVD","South Lawndale","08:30 AM-03:30 PM","","","PK-8","(773) 534-1700","http://spry.cps.edu","http://spry.cps.edu/contact/","","","","","","","","","41.847755"," -87.70019"
"STAGG","7424 S MORGAN ST","Englewood","08:45 AM-03:45 PM","8:30 AM","3:45 PM - 5:15 PM","PK-8","(773) 535-3565","https://staggsoe.org","https://staggsoe.org/apps/contact","","True","","","","","Union League Boys and Girls Club","""Stagg also offers numerous after school activities, through our partnership with the Union League Boys and Girls Club that help our students develop into healthy, well-rounded youth."" <a href=""https://www.staggsoe.org/apps/pages/index.jsp?uREC_ID=387220&type=d"">[1]</a>
","41.758933"," -87.649222"
